,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lgals4,0.259836420173422,0.143267756040837,0.007,0.003,1
Sptssa,0.259848860796933,0.0535060099902872,0.559,0.514,1
Acat1,0.259880902717649,0.115541834984494,0.259,0.23,1
Ifi208,0.259890087783665,0.67807552102775,0.01,0.006,1
Csrnp2,0.259921577239781,-0.808537244197114,0.017,0.024,1
Fignl1,0.259968366102067,1.04600624315217,0.009,0.005,1
Gm10053,0.259968366102067,0.87885936656903,0.009,0.005,1
Rrp8,0.259975043375215,0.167217372641156,0.048,0.038,1
Adssl1,0.259977699448073,-0.204969070626134,0.152,0.168,1
Acvrl1,0.260074571566948,0.0882978219954402,0.494,0.47,1
Dgkb,0.260092770655557,0.430431325247641,0.007,0.003,1
Nagpa,0.260191935410425,0.081741477734008,0.179,0.156,1
Chd4,0.260222037674845,-0.0494844808876694,0.617,0.635,1
Ube2e1,0.260326959490238,0.0201151347140062,0.34,0.304,1
Cip2a,0.260383872103143,-1.03582031436804,0.007,0.011,1
Tmtc1,0.260402342684306,1.1928325223405,0.009,0.005,1
Lrrc58,0.260406841838148,0.11230594222408,0.325,0.293,1
Col3a1,0.26042587055752,1.1336555194457,0.008,0.004,1
Clec4a4,0.260499313100617,0.454796356018454,0.01,0.006,1
Plekhm2,0.260523312917633,-0.0916826469593374,0.403,0.417,1
Mtm1,0.260545202914307,0.227567746274526,0.104,0.089,1
Angptl3,0.260565815646882,-0.935561494621058,0.007,0.011,1
Cd209c,0.260565815646882,-0.849210053236764,0.007,0.011,1
Fabp4,0.260619518851859,0.355495791142108,0.009,0.005,1
Dctn5,0.260702771440293,0.0317910863365292,0.17,0.147,1
Col15a1,0.260820781225533,-0.22899856855327,0.09,0.104,1
Proser3,0.260836820290628,0.458717149173962,0.009,0.005,1
Ajuba,0.260894988777403,0.828030585156435,0.008,0.004,1
Ccdc157,0.260894988777403,1.30804466306723,0.008,0.004,1
Xndc1,0.260906011835119,0.18019631142306,0.01,0.006,1
B430306N03Rik,0.260906011835119,0.511586970840447,0.01,0.006,1
Irgc1,0.26105424701574,0.70080707225165,0.009,0.005,1
Smad6,0.261112173934331,-0.795005484072137,0.007,0.011,1
